formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Pr1,0.0,Heavy_fermion,P 63/m m c,6/mmm,NM,CANDIDATE,mp-38
Pr1Ru2,0.0,Heavy_fermion,F d -3 m,m-3m,NM,CANDIDATE,mp-2665
Pr2S3,0.0,Heavy_fermion,P n m a,mmm,NM,EXCLUDED,mp-15179
Pt0.22V0.78,1.76,Other,P m -3 n,m-3m,FM,CANDIDATE,mp-2211
Pt0.2Rh0.8,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-974370
Pt0.2Ta0.8,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1187219
Pt0.43W0.57,2.09,Other,R -3 m,-3m,NM,CANDIDATE,mp-1219711
Pt0.73W0.27,0.213,Other,I m m m,mmm,NM,EXCLUDED,mp-1018129
Pt1Sb1Se1,0.0,Other,P 21 3,23,NM,EXCLUDED,mp-1101950
Pt1Sb1Te1,0.0,Other,P 21 3,23,NM,EXCLUDED,mp-1219487
Pt1Sc1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-892
Pt1Si1,0.88,Other,P n m a,mmm,NM,EXCLUDED,mp-696
Pt1Si1Sm1,0.0,Other,I 41 m d,4mm,NM,EXCLUDED,mp-1077109
Pt1Si1Ta1,3.54,Other,P n m a,mmm,NM,EXCLUDED,mp-1208554
Pt1Sn1,0.37,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-19856
Pt1Sn2,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-19962
Pt1Sn4,1.19,Other,C c c a,mmm,NM,EXCLUDED,mp-20662
Pt1Te1,0.59,Other,R -3 m,-3m,NM,CANDIDATE,mp-11693
Pt1Te2,0.0,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-399
Pt1Th1,0.44,Other,C m c m,mmm,NM,EXCLUDED,mp-12754
Pt1Ti3,0.58,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-2339
Pt1Tl2,1.58,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-571160
Pt1Y1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1025448
Pt1Zr1,3.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1065995
Pt2.2Y1,1.7,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2403
Pt2Sb2Sr1,2.1,Other,P 4/m m m,4/mmm,FM,EXCLUDED,mp-1206150
Pt2Si2Th1,1.1,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1079221
Pt2Si2Y1,1.57,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1080646
Pt2Sr1,0.35,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1349
Pt2Ta1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-30849
Pt2Th1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1070844
Pt2Y1,2.835,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-2674
Pt2Y8,0.9,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1207762
Pt3Sc1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-481
Pt3Sn1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20971
Pt3Th1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-865400
Pt3Th7,0.49,Other,P 63 m c,6mm,NM,CANDIDATE,mp-569074
Pt3V1,0.254,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-2705
Pt3Y7,0.82,Other,P n m a,mmm,NM,EXCLUDED,mp-1102657
Pt5Th3,0.0,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-1207128
Pt8Ti1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-30852
Pu1,0.0,Heavy_fermion,F d d d,mmm,NM,EXCLUDED,mp-571261
Rb0.14W1O3,5.1,Oxide,I m m m,mmm,NM,EXCLUDED,mp-698610
Rb0.18W1O3,4.24,Oxide,P 6/m m m,6/mmm,FM,CANDIDATE,mp-565431
Rb0.25W1O3,0.0,Oxide,I m m m,mmm,FM,EXCLUDED,mp-1219848
Rb0.27W1O2.93,3.0,Oxide,F d -3 m,m-3m,FM,CANDIDATE,mp-752845
Rb1S8V6,0.65,Chevrel,P -3,-3,NM,CANDIDATE,mp-1219696
Re0.25Ta0.75,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1187203
Re0.25W0.75,4.6,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1206445
Re0.35W0.65,6.75,Other,F m m m,mmm,NM,EXCLUDED,mp-1219490
Re0.73W0.27,8.3,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-974408
Re1,2.581333333,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-8
Re1O2,0.0,Oxide,P b c n,mmm,NM,EXCLUDED,mp-7228
Re1O3,0.0,Oxide,P m -3 m,m-3m,NM,CANDIDATE,mp-190
Re1Se2,0.0,Other,P -1,-1,NM,EXCLUDED,mp-541582
Re1Si1Ta1,4.4,Other,I m a 2,mm2,NM,EXCLUDED,mp-1188590
Re1Si2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-12605
Re1Ta1,0.65,Other,C m m m,mmm,NM,EXCLUDED,mp-1217894
Re1Zr2,0.0,Other,P 42/m n m,4/mmm,NM,EXCLUDED,mp-1193848
Re24Sc5,2.2,Other,I -4 3 m,-43m,NM,CANDIDATE,mp-11558
Re24Ti5,6.6,Other,I -4 3 m,-43m,NM,CANDIDATE,mp-518
Re24Zr5,3.875,Other,I -4 3 m,-43m,NM,CANDIDATE,mp-1374
Re2Sc1,1.71,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-11557
Re2Si1,3.8,Other,P 1 21/c 1,2/m,NM,EXCLUDED,mp-669547
Re2Tb1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1102249
Re2Th1,5.025,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1659
Re2U1,0.0,Heavy_fermion,C m c m,mmm,FM,EXCLUDED,mp-569480
Re2Y1,1.83,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-570923
Re2Zr1,6.366666667,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-12109
Re3Si5Y2,1.76,Other,P 4/m n c,4/mmm,NM,EXCLUDED,mp-1195855
Re3W1,8.733333333,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-974416
Rh0.29Se0.71,0.0,Other,P a -3,m-3,NM,CANDIDATE,mp-983
Rh0.2Ru0.8,0.18,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1186926
Rh0.33Zr0.67,11.25,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-571664
Rh0.53Se0.47,6.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-900
Rh0.85Si1.15Th1,5.48,Other,I 41 m d,4mm,NM,EXCLUDED,mp-1206329
Rh1,0.08138375,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1186916
Rh17S15,5.52,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-21991
Rh1Ru2U1,0.0,Heavy_fermion,P 4/m m m,4/mmm,NM,EXCLUDED,mp-1216633
Rh1Sb1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-20619
Rh1Se1.75,6.0,Other,P b c n,mmm,NM,EXCLUDED,mp-1105666
Rh1Se2,4.35,Other,P n m a,mmm,NM,EXCLUDED,mp-1192175
Rh1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-818
Rh1Si1Tb1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1239087
Rh1Si1Ti1,5.1,Other,P n m a,mmm,NM,EXCLUDED,mp-672645
Rh1Si1Y1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-19728
Rh1Sn2,0.6,Other,C m c a,mmm,NM,EXCLUDED,mp-1103044
Rh1Te1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1628
Rh1Te2,0.755,Other,P a -3,m-3,NM,CANDIDATE,mp-754
Rh1Th1,0.36,Other,C m c m,mmm,NM,EXCLUDED,mp-12755
Rh1Ti1,0.0,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-2583
Rh1Ti2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1018124
Rh1V3,0.19,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1578
Rh1Y1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-191
Rh1Y3,0.65,Other,P n m a,mmm,NM,EXCLUDED,mp-1207780
Rh1Zr1,1.35,Other,P n m a,mmm,NM,EXCLUDED,mp-669917
Rh1Zr3,7.1033333335,Other,I -4 2 m,-42m,NM,EXCLUDED,mp-1188413
Rh2O3,0.0,Oxide,P 42/m n m,4/mmm,NM,EXCLUDED,mp-725
Rh2Sc1Sn1,2.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-862623
Rh2Si2Th1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-4413
Rh2Si2U1,1.1,Heavy_fermion,I 4/m m m,4/mmm,FM,EXCLUDED,mp-5556
Rh2Si2Y1,1.4,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3441
Rh2Sn1Y1,4.1,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-865518
Rh2Sr1,6.2,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1328
Rh2Ta1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1103212
Rh2Th1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-568337
Rh2Y1,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-921
Rh2Y3,1.48,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-1196999
Rh3Sc1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-635
Rh3Si5Tb2,0.0,Other,C 1 2/c 1,2/m,NM,EXCLUDED,mp-12879
Rh3Si5Y2,2.7,Other,C 1 2/c 1,2/m,NM,EXCLUDED,mp-9882
Rh3Sn5Tb2,0.0,Other,C m c 21,mm2,NM,EXCLUDED,mp-1189471
Rh3Sn5Y2,0.0,Other,C m c 21,mm2,NM,EXCLUDED,mp-30864
Rh3Th1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2509
Rh3Th7,2.15,Other,P 63 m c,6mm,NM,CANDIDATE,mp-1107
Rh3Ti1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1152
Rh3U1,0.0,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-1150
Rh3V1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-866161
Rh3Y1,1.07,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1191413
Rh3Y7,0.0,Other,P 63 m c,6mm,NM,CANDIDATE,mp-1189474
Rh3Zr1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-229
Rh4Sc5Si10,8.405,Other,P n m a,mmm,NM,EXCLUDED,mp-22307
Rh4Sn13Sr3,4.216666667,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-30517
Rh4Sn13Th3,1.9,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-30516
Rh4Sn13Yb3,7.833333333,Heavy_fermion,P m -3 n,m-3m,NM,CANDIDATE,mp-3046
Rh5Y1,0.56,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-11565
Ru0.43V0.57,2.92,Other,P m -3 m,m-3m,FiM,CANDIDATE,mp-1395
Ru0.4W0.6,4.835,Other,C m m 2,mm2,NM,EXCLUDED,mp-1219644
Ru0.8Sr2Ti0.2O4,0.0,Oxide,I 4/m m m,4/mmm,FM,EXCLUDED,mp-4596
Ru1,0.501,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-33
Ru1S2,0.0,Other,P a -3,m-3,NM,CANDIDATE,mp-2030
Ru1Sb1,0.6,Other,P n m a,mmm,NM,EXCLUDED,mp-7565
Ru1Se2,0.0,Other,P a -3,m-3,NM,CANDIDATE,mp-1922
Ru1Si1Ta1,3.15,Other,I m a 2,mm2,NM,EXCLUDED,mp-1189212
Ru1Si1Zr1,9.733333333,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-7544
Ru1Te2,0.0,Other,P n n m,mmm,NM,EXCLUDED,mp-267
Ru1Ti1,1.07,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-592
Ru1W1,6.455,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1219476
Ru1Y3,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1207781
Ru1Zr1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-214
Ru2Sc1,2.09,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-567750
Ru2Si2Th1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-5165
Ru2Si2Y1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-568673
Ru2Zr1,2.053333333,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-569979
Ru3Si2Th1,3.98,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1025056
Ru3Si2Y1,3.51,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1024974
Ru3Si4Zr2,5.7,Other,C 1 2/c 1,2/m,NM,EXCLUDED,mp-510274
Ru3U1,0.0725,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-1263
S0.8Se1.2Ta1,3.9,Chevrel,P 3 m 1,3m,NM,CANDIDATE,mp-1217890
S1,13.0,Other,P 1 2/c 1,2/m,NM,EXCLUDED,mp-96
S1.1Zr1,4.5,Chevrel,F d -3 m,m-3m,NM,CANDIDATE,mp-1103820
S1.8Se0.2Ta1,2.75,Chevrel,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1984
S1Sc1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1476
S1Sn1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-2231
S1Ti1,0.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1018028
S1Tl2,0.0,Other,R 3,3,NM,EXCLUDED,mp-556516
S1V3,0.0,Other,P 42/n b c,4/mmm,NM,EXCLUDED,mp-555283
S1W1,0.0,Other,P 63 m c,6mm,NM,CANDIDATE,mp-1004526
S1Y1,1.9,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1534
S2W1,0.0,Other,R 3 m,3m,NM,CANDIDATE,mp-9813
S3Ta1,0.0,Other,P 1 21/m 1,2/m,NM,EXCLUDED,mp-30527
S8Tl0.26V6,0.74,Chevrel,P 1,1,NM,EXCLUDED,mp-1216912
S8Tl1V6,4.1,Chevrel,P -3,-3,NM,CANDIDATE,mp-1216802
S8V6,0.76,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-799
Sb0.195V0.805,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1555
Sb0.25Ti0.75,5.9358333335,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1412
Sb0.28Tl0.72,5.2,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1187486
Sb1,1.416666667,Other,R -3 m,-3m,NM,CANDIDATE,mp-104
Sb1Sn1,1.43,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-10635
Sb1Ta3,0.72,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-541
Sb1Te2Tl1,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-4573
Sb1Y1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-215
Sb2Ta1,0.0,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-11697
Sb2Te3,4.942,Other,R -3 m,-3m,NM,CANDIDATE,mp-1201
Sb2Ti1,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-568
Sb2Tl7,5.2,Other,I m -3 m,m-3m,NM,CANDIDATE,mp-621624
Sb2V1,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-2851
Sb2Yb1,1.3,Heavy_fermion,C m c m,mmm,NM,EXCLUDED,mp-7138
Sb2Zr1,0.0,Other,P n n m,mmm,NM,EXCLUDED,mp-979
Sb3Zr5,1.5,Other,P n m a,mmm,NM,EXCLUDED,mp-505759
Sb4Sn3Sr1,3.9,Other,P n m a,mmm,NM,EXCLUDED,mp-866805
Sc0.25Zr0.75,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1188062
Sc0.5Zr0.5,0.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1215201
Sc1Se1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1782
Sc1Si2,0.0,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-2841
Sc1Tc2,10.9,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1101860
Se1,5.016666667,Other,P 1 21/c 1,2/m,NM,EXCLUDED,mp-570481
Se1Th1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2183
Se1Y1,3.25,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2637
Se2Ta1,0.125,Other,F m m 2,mm2,NM,EXCLUDED,mp-8954
Se2Ti1,0.45,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-2194
Se2V1,0.0,Other,P -3 m 1,-3m,FM,CANDIDATE,mp-694
Se3Ta1,2.05,Other,P 1 21/m 1,2/m,NM,EXCLUDED,mp-29652
Si0.28Ta0.72,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-2783
Si0.45Zr0.55,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-893
Si0.4Sn0.6V3,9.8,Other,P m -3,m-3,FM,CANDIDATE,mp-1216430
Si0.665Y0.335,0.0,Other,I 41/a m d,4/mmm,NM,EXCLUDED,mp-12769
Si1,5.864761905,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-149
Si1Th1,2.41,Other,P n m a,mmm,NM,EXCLUDED,mp-21238
Si1Ti1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-7092
Si1U1,0.0,Heavy_fermion,P n m a,mmm,FM,EXCLUDED,mp-19715
Si1U3,0.0,Heavy_fermion,I 4/m c m,4/mmm,NM,EXCLUDED,mp-956
Si1Y1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-9972
Si1Zr2,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-1278
Si1Zr4,0.0,Other,P 42/n,4/m,NM,EXCLUDED,mp-1200912
Si2Ta1,0.1725,Other,P 64 2 2,622,NM,EXCLUDED,mp-11192
Si2Ta1,0.1725,Other,P 62 2 2,622,NM,EXCLUDED,mp-517
Si2Th3,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1079146
Si2Ti1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1077503
Si2U1,0.0,Heavy_fermion,P 6/m m m,6/mmm,FM,CANDIDATE,mp-980
Si2U3,0.0,Heavy_fermion,P 4/m b m,4/mmm,NM,EXCLUDED,mp-21346
Si2V1,0.0,Other,P 62 2 2,622,FM,EXCLUDED,mp-10711
Si2V1,0.0,Other,P 64 2 2,622,FM,EXCLUDED,mp-11190
Si2W1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1620
Si2W3,2.84,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1079377
Si2Zr1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1515
Si2Zr3,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1207024
Si3Ti5,0.0,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-2108
Si3U1,0.0,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-2800
Si3V5,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-568671
Si3W5,2.7,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-31219
Si3Y1,4.63,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1189560
Sm1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-69
Sn0.19W1O3,0.0,Oxide,P 1 21/m 1,2/m,FM,EXCLUDED,mp-761454
Sn0.25Te0.75,1.7,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-978885
Sn1,3.740729412,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-117
Sn1O1,2.605,Oxide,P 4/n m m,4/mmm,NM,EXCLUDED,mp-2097
Sn1Ti3,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1079460
Sn1Y2,0.0,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-567412
Sn1Zr4,0.92,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-30876
Sn2O3,0.0,Oxide,P 42/m n m,4/mmm,NM,EXCLUDED,mp-856
Sn3U1,0.0,Heavy_fermion,P m -3 m,m-3m,FM,CANDIDATE,mp-20336
Sn3Yb1,3.6,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-2751
Sn3Zr5,1.9,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-510522
Sr1,3.5375,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-567826
Sr1Ti1O3,0.5040416665,Oxide,I 4/m c m,4/mmm,NM,EXCLUDED,mp-4651
Sr4V3O9.44,0.0,Oxide,P m -3 m,m-3m,FM,CANDIDATE,mp-18717
Sr4V3O9.8,0.0,Oxide,I 4,4,FM,EXCLUDED,mp-759591
Ta0.2Zr0.8,5.56,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1188053
Ta0.462Ti0.538,9.05,Other,C m m m,mmm,NM,EXCLUDED,mp-1217887
Ta0.5V0.5,2.54,Other,C m m m,mmm,FM,EXCLUDED,mp-1217812
Ta0.75V0.25,2.65,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1208384
Ta1,4.3769,Other,P -4 21 m,-42m,NM,EXCLUDED,mp-42
Ta1Te2,0.0,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1967
Ta1V2,2.133333333,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-567276
Ta25Ti75,6.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1187250
Tb1,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-11698
Tc0.5Ti0.5,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-11573
Tc0.5W0.5,7.52,Other,C m m m,mmm,NM,EXCLUDED,mp-1217337
Tc1,7.794166667,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-113
Tc2Y1,8.8,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1102030
Tc2Zr1,7.6,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1095545
Te1,3.94125,Other,P 32 2 1,32,NM,EXCLUDED,mp-567313
Te1,3.94125,Other,P 31 2 1,32,NM,EXCLUDED,mp-19
Te1Th1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1921
Te1Ti1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-567832
Te1Y1,1.535,Other,P -6 m 2,-62m,FM,CANDIDATE,mp-865430
Te2Ti1,0.0,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-1907
Te2W1,0.0,Other,P m n 21,mm2,NM,EXCLUDED,mp-22693
Te3Tl5,2.144,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-174
Te3V2,0.0,Chevrel,P -3 m 1,-3m,FM,CANDIDATE,mp-1008626
Te3Zr1,2.308333333,Other,P 1 21/m 1,2/m,NM,EXCLUDED,mp-2089
Te4Ti3,0.0,Chevrel,C 1 2/m 1,2/m,NM,EXCLUDED,mp-15669
Te4Ti5,0.0,Other,I 4/m,4/m,NM,EXCLUDED,mp-7498
Th0.25Y0.75,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-981549
Th0.25Zr0.75,6.29,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1217289
Th0.2Zr0.8,3.3,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1187462
Th0.5Y0.5,1.25,Other,R -3 m,-3m,NM,CANDIDATE,mp-1215899
Th1Tl3,0.87,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2061
Th2Zn1,0.67,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-2387
Th70.2Tm29.8,0.67,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-980014
Ti0.496Zr0.504,1.8,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1215200
Ti0.516V0.484,7.2,Other,C m m m,mmm,NM,EXCLUDED,mp-1216646
Ti0.65Zr0.35,1.37,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1008568
Ti0.8V0.2,4.125,Other,F m m m,mmm,NM,EXCLUDED,mp-1217117
Ti0.8Zr0.2,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1183046
Ti1,0.162,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-72
Ti1O0.86,0.47,Oxide,P -6 2 m,-62m,NM,CANDIDATE,mp-1071163
Ti1O0.92,0.72,Oxide,P -6 m 2,-62m,NM,CANDIDATE,mp-755264
Ti1U2,0.0,Heavy_fermion,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1709
Ti1Zn2,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-30882
Ti2O3,0.0,Oxide,R -3 c,-3m,NM,CANDIDATE,mp-458
Ti4Tl1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-865900
Tl0.03W1O3,2.07,Oxide,P 6/m m m,6/mmm,FM,CANDIDATE,mp-33436
Tl0.3W1O3,2.0,Oxide,P 6 m m,6mm,FM,CANDIDATE,mp-766046
Tl1,1.989218182,Other,R -3 m,-3m,NM,CANDIDATE,mp-972351
Tl1Zr4,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-977585
Tl2O3,0.0,Oxide,I a -3,m-3,NM,CANDIDATE,mp-1658
Tl3Y1,1.52,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2393
Tm1,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-1018122
U1,0.581666667,Heavy_fermion,C m c m,mmm,NM,EXCLUDED,mp-44
U1O2,0.0,OxideHeavy_fermion,F m -3 m,m-3m,FM,CANDIDATE,mp-1597
V0.26Zr0.74,5.9,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-1188058
V2O3,0.0,Oxide,I a -3,m-3,FM,CANDIDATE,mp-21579
V3Zr3O1,7.5,Oxide,F d -3 m,m-3m,FiM,CANDIDATE,mp-504834
W1,0.0157,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-11334
W1O2,0.0,Oxide,I 4/m,4/m,FM,EXCLUDED,mvc-2118
W1O3,0.0,Oxide,P 4/n m m,4/mmm,NM,EXCLUDED,mp-19443
W2Zr1,1.08,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-675
W3O1,1.675,Oxide,P m -3 n,m-3m,NM,CANDIDATE,mp-21369
Y1Zn1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2516
Yb1,0.0,Heavy_fermion,R -3 m,-3m,NM,CANDIDATE,mp-972364
Zn1,0.8508,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-79
Zn2Zr1,0.296666667,Other,F d -3 m,m-3m,FM,CANDIDATE,mp-1401
Zr1,0.996666667,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-131
