formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Ce1Pd2Si2,0.421,Heavy_fermion,I 4/m m m,4/mmm,FM,EXCLUDED,mp-3826
Ce1Pt1Si1,0.0,Heavy_fermion,I 41 m d,4mm,FM,EXCLUDED,mp-1072580
Ce1Pt1Si2,0.14,Heavy_fermion,C m c m,mmm,NM,EXCLUDED,mp-3284
Ce1Pt2,0.0,Heavy_fermion,F d -3 m,m-3m,NM,CANDIDATE,mp-2109
Ce1Pt3,0.0,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-11318
Ce1Pt5,0.0,Heavy_fermion,P 6/m m m,6/mmm,FM,CANDIDATE,mp-542777
Ce1Rh1Si3,0.914,Heavy_fermion,I 4 m m,4mm,FM,EXCLUDED,mp-1070394
Ce1Rh1Sn1,0.0,Heavy_fermion,P -6 2 m,-62m,FM,CANDIDATE,mp-12374
Ce1Rh2,0.0,Heavy_fermion,F d -3 m,m-3m,FM,CANDIDATE,mp-951
Ce1Rh2Si2,0.356666667,Heavy_fermion,I 4/m m m,4/mmm,FM,EXCLUDED,mp-4090
Ce1Ru3Si2,1.25,Heavy_fermion,P 6/m m m,6/mmm,NM,CANDIDATE,mp-30043
Ce1Ru4Sb12,0.0,Heavy_fermion,I m -3,m-3,NM,CANDIDATE,mp-1189811
Ce1S1,0.0,Heavy_fermion,F m -3 m,m-3m,FM,CANDIDATE,mp-1096
Ce1Si2,0.0,Heavy_fermion,I 41/a m d,4/mmm,NM,EXCLUDED,mp-1898
Ce1Sn3,0.0,Heavy_fermion,P m -3 m,m-3m,FM,CANDIDATE,mp-1911
Ce2Co1In8,0.4,Heavy_fermion,P 4/m m m,4/mmm,FiM,EXCLUDED,mp-19989
Ce2Ge5Ni3,0.22,Heavy_fermion,I b a m,mmm,NM,EXCLUDED,mp-1213960
Ce2In8Ir1,0.0,Heavy_fermion,P 4/m m m,4/mmm,FM,EXCLUDED,mp-1207157
Ce2In8Pd1,0.69,Heavy_fermion,P 4/m m m,4/mmm,FM,EXCLUDED,mp-1102172
Ce2In8Rh1,0.8125,Heavy_fermion,P 4/m m m,4/mmm,FM,EXCLUDED,mp-1206465
Ce2Ir3Si5,0.0,Heavy_fermion,I b a m,mmm,NM,EXCLUDED,mp-1105703
Ce2Pd3Si5,0.0,Heavy_fermion,I b a m,mmm,FM,EXCLUDED,mp-1213852
Ce2Rh3Si5,0.0,Heavy_fermion,I b a m,mmm,NM,EXCLUDED,mp-1188214
Ce2S3,0.0,Heavy_fermion,P n m a,mmm,FM,EXCLUDED,mp-20973
Ce3Ge13Ru4,0.0,Heavy_fermion,P m -3 n,m-3m,FM,CANDIDATE,mp-1204084
Ce3Ge2Rh2,0.0,Heavy_fermion,P b c m,mmm,FM,EXCLUDED,mp-21597
Ce3Pd4Si4,0.0,Heavy_fermion,I m m m,mmm,FM,EXCLUDED,mp-1103548
Ce3Ru4Sn13,0.0,Heavy_fermion,P m -3 n,m-3m,FM,CANDIDATE,mp-1198582
Ce4Sb3,0.0,Heavy_fermion,F m -3 m,m-3m,FM,CANDIDATE,mp-387
Cl0.7Hf1N1,24.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-541911
Cl0.7N1Zr1,13.16666667,Other,R -3 m,-3m,NM,CANDIDATE,mp-568592
Cl1Cu2Pb2Ru1Sr2O8,0.0,Cuprate,A m m 2,mm2,FiM,EXCLUDED,mp-1218869
Cl1Cu2Sr3O5,70.0,Cuprate,I m -3 m,m-3m,NM,CANDIDATE,mp-1147678
Cl1Cu3Pb3Sr3O8,0.0,Cuprate,P 1 m 1,m,NM,EXCLUDED,mp-1218799
Cl1Hf1N1Na0.18,22.0,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1220765
Cl1Li0.05N1Zr1,15.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-1222362
Cl1N1Na0.16Ti1,14.0,Other,P -1,-1,NM,EXCLUDED,mp-1220939
Cl1N1Ti1,0.0,Other,P m m n,mmm,NM,EXCLUDED,mp-27850
Co0.004Fe1.996K0.8Se2,22.0,Ferrite,I 4/m m m,4/mmm,FM,EXCLUDED,mp-1070735
Co0.02Cu0.98Rh2S4,1.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-15613
Co0.02Sn0.98Ta3,4.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-30871
Co0.05Fe0.95Se1,10.0,Ferrite,P 4/n m m,4/mmm,NM,EXCLUDED,mp-20311
Co0.06La1Ru2.94Si2,6.62,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-29240
Co0.15Ni0.85Zr2,1.4,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-328
Co0.15Ti0.85,3.8,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1208254
Co0.25Pd49.75Sb50,1.57,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1769
Co0.2Ir3.8Lu5Si10,5.52,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-542170
Co0.3Ni0.7V3,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-7226
Co0.3Ni0.7Zr2,1.87,Other,I 4 2 2,422,NM,EXCLUDED,mp-1215379
Co0.3Sc0.7,0.35,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-30562
Co0.44Mo0.56,13.0,Other,P -6 m 2,-62m,FiM,CANDIDATE,mp-1226002
Co0.5Fe0.5Ti1,3.3,Other,F m -3 m,m-3m,FM,CANDIDATE,mp-1187429
Co0.5Fe0.5Zr2,1.26,Other,I 4 2 2,422,NM,EXCLUDED,mp-1215368
Co0.5Ni0.5Ta2,0.91,Other,I 4 2 2,422,NM,EXCLUDED,mp-1217989
Co0.5Ni0.5V3,0.0,Other,P m -3,m-3,NM,CANDIDATE,mp-1216439
